"X1"	"X2"	"X3"
3.674	0.73619816997226	16.9200475116295
3.6741	0.736172593003447	16.9204023915109
3.6742	0.736147017863202	16.9207572615904
3.6743	0.736121444551323	16.9211121218687
3.6744	0.736095873067608	16.9214669723462
3.6745	0.736070303411859	16.9218218130236
3.6746	0.736044735583874	16.9221766439012
3.6747	0.736019169583451	16.9225314649798
3.6748	0.73599360541039	16.9228862762599
3.6749	0.735968043064492	16.9232410777419
3.675	0.735942482545555	16.9235958694264
3.6751	0.735916923853378	16.9239506513141
3.6752	0.735891366987762	16.9243054234054
3.6753	0.735865811948505	16.9246601857008
3.6754	0.735840258735407	16.925014938201
3.6755	0.735814707348267	16.9253696809064
3.6756	0.735789157786886	16.9257244138177
3.6757	0.735763610051063	16.9260791369354
3.6758	0.735738064140597	16.9264338502599
3.6759	0.735712520055287	16.9267885537919
3.676	0.735686977794934	16.9271432475319
3.6761	0.735661437359338	16.9274979314804
3.6762	0.735635898748298	16.9278526056381
3.6763	0.735610361961614	16.9282072700054
3.6764	0.735584826999085	16.9285619245828
3.6765	0.735559293860513	16.928916569371
3.6766	0.735533762545695	16.9292712043705
3.6767	0.735508233054433	16.9296258295818
3.6768	0.735482705386525	16.9299804450054
3.6769	0.735457179541773	16.930335050642
3.677	0.735431655519977	16.930689646492
3.6771	0.735406133320934	16.9310442325561
3.6772	0.735380612944448	16.9313988088346
3.6773	0.735355094390316	16.9317533753283
3.6774	0.73532957765834	16.9321079320376
3.6775	0.735304062748319	16.9324624789631
3.6776	0.735278549660054	16.9328170161053
3.6777	0.735253038393345	16.9331715434648
3.6778	0.735227528947991	16.9335260610421
3.6779	0.735202021323794	16.9338805688378
3.678	0.735176515520553	16.9342350668523
3.6781	0.735151011538069	16.9345895550863
3.6782	0.735125509376142	16.9349440335403
3.6783	0.735100009034572	16.9352985022149
3.6784	0.735074510513161	16.9356529611105
3.6785	0.735049013811707	16.9360074102278
3.6786	0.735023518930013	16.9363618495672
3.6787	0.734998025867877	16.9367162791293
3.6788	0.734972534625102	16.9370706989147
3.6789	0.734947045201486	16.9374251089239
3.679	0.734921557596831	16.9377795091574
3.6791	0.734896071810938	16.9381338996158
3.6792	0.734870587843606	16.9384882802997
3.6793	0.734845105694637	16.9388426512095
3.6794	0.734819625363832	16.9391970123459
3.6795	0.734794146850991	16.9395513637093
3.6796	0.734768670155914	16.9399057053003
3.6797	0.734743195278403	16.9402600371195
3.6798	0.734717722218258	16.9406143591673
3.6799	0.734692250975281	16.9409686714444
3.68	0.734666781549271	16.9413229739513
3.6801	0.734641313940031	16.9416772666884
3.6802	0.73461584814736	16.9420315496565
3.6803	0.73459038417106	16.9423858228559
3.6804	0.734564922010932	16.9427400862873
3.6805	0.734539461666776	16.9430943399512
3.6806	0.734514003138395	16.9434485838481
3.6807	0.734488546425588	16.9438028179786
3.6808	0.734463091528157	16.9441570423432
3.6809	0.734437638445903	16.9445112569425
3.681	0.734412187178627	16.944865461777
3.6811	0.734386737726131	16.9452196568472
3.6812	0.734361290088215	16.9455738421537
3.6813	0.734335844264681	16.945928017697
3.6814	0.73431040025533	16.9462821834777
3.6815	0.734284958059964	16.9466363394964
3.6816	0.734259517678383	16.9469904857534
3.6817	0.734234079110389	16.9473446222495
3.6818	0.734208642355784	16.9476987489851
3.6819	0.734183207414368	16.9480528659607
3.682	0.734157774285944	16.948406973177
3.6821	0.734132342970313	16.9487610706345
3.6822	0.734106913467275	16.9491151583336
3.6823	0.734081485776634	16.949469236275
3.6824	0.73405605989819	16.9498233044592
3.6825	0.734030635831745	16.9501773628867
3.6826	0.7340052135771	16.9505314115581
3.6827	0.733979793134058	16.9508854504738
3.6828	0.73395437450242	16.9512394796346
3.6829	0.733928957681986	16.9515934990408
3.683	0.733903542672561	16.951947508693
3.6831	0.733878129473944	16.9523015085918
3.6832	0.733852718085938	16.9526554987377
3.6833	0.733827308508345	16.9530094791313
3.6834	0.733801900740967	16.9533634497731
3.6835	0.733776494783605	16.9537174106635
3.6836	0.73375109063606	16.9540713618033
3.6837	0.733725688298137	16.9544253031929
3.6838	0.733700287769635	16.9547792348328
3.6839	0.733674889050357	16.9551331567236
3.684	0.733649492140107	16.9554870688658
3.6841	0.733624097038683	16.95584097126
3.6842	0.733598703745891	16.9561948639068
3.6843	0.733573312261531	16.9565487468065
3.6844	0.733547922585405	16.9569026199599
3.6845	0.733522534717316	16.9572564833674
3.6846	0.733497148657067	16.9576103370295
3.6847	0.733471764404458	16.9579641809469
3.6848	0.733446381959293	16.95831801512
3.6849	0.733421001321373	16.9586718395494
3.685	0.733395622490502	16.9590256542356
